City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Lebu,-37.6167,-73.65,52.23,71,64,19.89,CL,2022-05-13 20:34:16
166,Vanavara,60.34,102.2797,45.61,84,100,0.94,RU,2022-05-13 20:38:52
167,Imbituba,-28.24,-48.6703,64.09,87,38,2.04,BR,2022-05-13 20:38:49
168,Launceston,-41.45,147.1667,55.8,90,100,8.05,AU,2022-05-13 20:38:53
169,Sault Sainte Marie,46.5168,-84.3333,86.56,28,0,10.36,CA,2022-05-13 20:35:31
170,Pisco,-13.7,-76.2167,69.85,68,9,16.11,PE,2022-05-13 20:34:58
171,Kipini,-2.5257,40.5262,80.89,75,53,15.73,KE,2022-05-13 20:38:53
172,Fort Nelson,58.8053,-122.7002,54.99,58,75,8.05,CA,2022-05-13 20:38:54
173,Mansa,29.9833,75.3833,92.32,11,0,5.28,IN,2022-05-13 20:38:54
174,Veraval,20.9,70.3667,83.35,78,23,15.05,IN,2022-05-13 20:38:54
175,Hailar,49.2,119.7,35.64,62,50,7.2,CN,2022-05-13 20:38:55
176,Grojec,51.8625,20.8676,57.33,89,88,5.68,PL,2022-05-13 20:38:55
177,Narsaq,60.9167,-46.05,41.22,77,83,6.55,GL,2022-05-13 20:38:56
178,Sibu,2.3,111.8167,73.71,100,40,9.22,MY,2022-05-13 20:38:56
179,Pevek,69.7008,170.3133,29.05,78,94,19.19,RU,2022-05-13 20:38:57
180,Jawar,23.0,76.5,90.03,27,5,15.32,IN,2022-05-13 20:38:57
181,Alindao,5.0267,21.2088,73.51,86,98,4.14,CF,2022-05-13 20:38:57
182,Dezhou,37.4486,116.2925,51.62,40,81,7.31,CN,2022-05-13 20:38:58
183,Airai,-8.9266,125.4092,59.58,95,79,1.81,TL,2022-05-13 20:39:04
184,Oceanside,33.1959,-117.3795,95.36,26,0,13.8,US,2022-05-13 20:38:06
185,Whyalla,-33.0333,137.5833,66.97,50,100,19.98,AU,2022-05-13 20:39:04
186,Dvinskoy,62.1535,45.1175,44.29,86,99,7.4,RU,2022-05-13 20:39:05
187,Bilibino,68.0546,166.4372,28.26,78,77,3.06,RU,2022-05-13 20:39:05
188,Barrow,71.2906,-156.7887,19.42,73,100,10.36,US,2022-05-13 20:39:06
189,Bethal,-26.4579,29.4655,55.35,55,96,4.14,ZA,2022-05-13 20:39:06
190,Kaitangata,-46.2817,169.8464,50.74,92,100,6.46,NZ,2022-05-13 20:39:07
191,Flinders,-34.5833,150.8552,60.39,93,9,3.0,AU,2022-05-13 20:39:07
192,Holme,56.1138,10.1725,53.17,80,80,15.23,DK,2022-05-13 20:39:08
193,Saldanha,-33.0117,17.9442,53.65,64,91,5.17,ZA,2022-05-13 20:39:08
194,Meulaboh,4.1363,96.1285,77.5,89,60,3.53,ID,2022-05-13 20:39:08
195,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,100,100,6.71,RU,2022-05-13 20:39:09
196,Iqaluit,63.7506,-68.5145,26.33,68,20,18.41,CA,2022-05-13 20:39:09
197,Baykit,61.67,96.37,43.16,84,26,0.18,RU,2022-05-13 20:39:10
198,Naze,28.3667,129.4833,68.92,92,100,9.35,JP,2022-05-13 20:39:10
199,Nizhniy Kuranakh,58.8353,125.4869,36.5,98,100,5.57,RU,2022-05-13 20:39:11
200,Fortuna,40.5982,-124.1573,63.91,81,100,8.05,US,2022-05-13 20:35:58
201,Ovsyanka,55.9575,92.5519,40.17,46,11,3.44,RU,2022-05-13 20:39:11
